,Unnamed: 0,Site_EUI,pos,Tax_Parcel,Years_Repo,Site_Energ,Gross_Sq_F,GHG_Emissi,ZIP,ShapeSTLen,EnergyStar,Pct_Gas,Reported,Pct_Electr,Address,GHG_Intens,Year_Built,Property_T,Water_Inte
40,40,53.7," -71.1253705302013,42.366388590604",2200530000,"2014, 2015, 2016",325520.3,6067.0,24.5,2163,170.560107,84,0.0,Yes,0.29199,10 Harvard Way,4.0,1940,Office,21.707598
41,41,36.7," -71.1299528,42.3726874",2200530000,"2014, 2015, 2016",352431.3,9611.0,27.1,2163,191.374435,94,0.0,Yes,0.346053,690 Soldiers Field Road,2.8,1926,Office,21.881178
42,42,83.2," -71.1254216326531,42.3662097142857",2200530000,"2014, 2015, 2016",8960833.1,107673.0,671.8,2163,1021.445638,71,0.0,Yes,0.282507,47A Harvard Way,6.2,1999,Residence Hall/Dormitory,22.823735
43,43,69.6," -71.1254216326531,42.3662097142857",2200530000,"2014, 2015, 2016",1316743.8,18925.0,104.7,2163,478.974456, ,0.0,Yes,0.432044,47 Harvard Way,5.5,1969,Social/Meeting Hall,23.149273
44,44,58.5," -71.1254817142857,42.366244",2200530000,"2014, 2015, 2016",6881386.1,117707.0,551.6,2163,700.520383,93,0.0,Yes,0.453598,15 Harvard Way,4.7,1927,Office,23.789579
45,45,49.1," -71.125369295302,42.366387885906",2200530000,"2014, 2015, 2016",2494184.0,50786.0,190.6,2163,801.532283,92,0.0,Yes,0.329914,14 Harvard Way,3.8,1926,Residence Hall/Dormitory,21.856417
46,46,129.8," -71.12501,42.3668415",2200530000,"2014, 2015, 2016",17194648.8,132424.0,1327.4,2163,962.277124, ,0.328075,Yes,0.499509,70 North Harvard Street,10.0,1990,Mixed Use Property,15.336344
47,47,70.5," -71.1209590482294,42.367654658315",2200530000,"2014, 2015, 2016",443634.1,6290.0,35.9,2163,190.32209,81,0.0,Yes,0.480492,710 Soldiers Field Road,5.7,1926,Office,21.494436
48,48,122.7," -71.1218334274366,42.3639341639208",2200490000,"2014, 2015, 2016",17115564.9,139437.0,1245.4,2163,1437.088502, ,0.166415,Yes,0.282661,117 Western Ave,8.9,2000,Other - Entertainment/Public Assembly,21.899496
49,49,87.0," -71.124756,42.367098",2200530000,"2014, 2015, 2016",2416462.8,27782.0,191.6,2163,428.173547,58,0.0,Yes,0.424654,60 North Harvard Street,6.9,1969,Office,21.812684
50,50,69.8," -71.1299528,42.3726874",2200530000,"2014, 2015, 2016",445228.8,6377.0,32.7,2163,191.279954,91,0.0,Yes,0.229666,680 Soldiers Field Road,5.1,1926,Office,21.593226
51,51,67.8," -71.1470194,42.3616533",2201058010,"2014, 2015, 2016",3570738.0,52688.0,328.1,2134,525.745741,68,0.111635,Yes,0.888365,230 Western Ave,6.2,1984,Office,14.741497
52,52,60.3," -71.100532,42.341365",2100005010,"2014, 2015, 2016",3625634.6,60077.0,241.9,2215,764.112094,88,0.68799,Yes,0.31201,203 Park Drive,4.0,1920,Multifamily Housing,36.697904
53,53,105.8," -71.1058694,42.3382806",01855-000,"2014, 2016",10543800.5,99645.0,864.8,2115,1012.686493,73,0.0,Yes,0.665731,333 Longwood Avenue,8.7,1989,Mixed Use Property,11.29309
54,54,75.9," -71.0610399581036,42.35784935",304675000,"2014, 2015, 2016",23077610.5,303975.0,2232.6,2108,744.785075,70,0.0,Yes,1.0,73 Tremont St,7.3,1898,Office,15.231187
55,55,88.2," -71.0926912,42.3469348",0501296002 0501296004 0501296006,"2014, 2015, 2016",60156815.2,682117.0,4506.5,2116,1076.337698,83,0.500386,Yes,0.499614,501 Boylston Street,6.6,1940,Office,14.816373
56,56,103.0," -71.0608233840525,42.3584467",302720000,"2014, 2015, 2016",117092371.1,1136283.0,9244.7,2108,715.565536,81,0.007385,Yes,0.416918,1 Beacon Street,8.1,1973,Office,9.02328
57,57,88.5," -71.0564056,42.35184",304302010,"2014, 2015, 2016",16557668.5,187000.0,1509.4,2111,677.524997,87,0.128012,Yes,0.871988,695 Atlantic Ave,8.1,1898,Office,25.552941
58,58,61.4," -71.0573759,42.3569451",Not Available,"2014, 2015, 2016",17854696.5,290759.0,1727.4,2109,518.476062, ,0.0,Yes,1.0,50 Milk Street,5.9,1981,Office,11.942537
59,59,69.9," -71.1194403487876,42.36464035",2200481000,"2015, 2016",16908108.0,241946.0,1311.0,2134,1620.314696,55,0.0,Yes,0.367072,One Western Ave,5.4,2003,Multifamily Housing,30.704785
60,60,69.0," -71.0706596,42.35087",501152000,"2014, 2015, 2016",39186307.4,567714.0,3791.1,2116,835.324951,78,0.0,Yes,1.0,10 St. James Avenue,6.7,2001,Office,11.30763
61,61,186.5," -71.0369035,42.3355165",Not Available,"2014, 2015, 2016",5776977.4,30982.0,457.1,2127,595.55427,87,0.403843,Yes,0.596157,713 E. Broadway,14.8,2005,Supermarket/Grocery Store,108.53076
62,62,205.2," -71.1302824,42.2978789",Not Available,2016,9579591.4,46685.0,782.9,2130,1408.794283,76,0.344172,Yes,0.655828,301 Centre St.,16.8,2005,Supermarket/Grocery Store,20.711149
63,63,194.8," -71.0482741111111,42.2913612222222",Not Available,"2014, 2015, 2016",11987838.6,61548.0,952.2,2122,1059.746053,88,0.396914,Yes,0.603086,545 Freeport Street,15.5,2005,Supermarket/Grocery Store,103.316111
64,64,112.0," -71.0825050630347,42.34715695",401037100,"2014, 2015, 2016",170020461.8,1518646.0,14189.7,2199,606.051623,60,0.027719,Yes,0.574319,800 Boylston Street,9.3,1965,Office,13.405494
65,65,75.5," -71.0814678462404,42.3464814",401037500,"2014, 2015, 2016",78114943.5,1034179.0,6806.5,2199,6176.649124,77,0.003508,Yes,0.684828,111 Huntington Ave,6.6,2001,Office,13.854178
66,66,75.3," -71.0808573623708,42.34693945",401037101,"2014, 2015, 2016",44068988.8,585345.0,3545.9,2199,674.308305,87,0.0,Yes,0.496617,101 Huntington Ave,6.1,1972,Office,9.504993
67,67,219.8," -71.1376273,42.3613215",Not Available,"2014, 2015, 2016",12801950.2,58240.0,1086.0,2135,1063.141436,59,0.273005,Yes,0.726995,370 Western Ave,18.6,1999,Supermarket/Grocery Store,19.79739
68,68,287.8," -71.1648826734694,42.2773090612245",Not Available,"2014, 2015, 2016",15783567.5,54846.0,1251.5,2132,1190.888422,37,0.400106,Yes,0.599894,75 Spring Street,22.8,1999,Supermarket/Grocery Store,14.586296
69,69,274.8," -71.1244465262236,42.2541968790447",Not Available,"2014, 2016",14740565.5,53642.0,1148.9,2136,1080.966834,52,0.431008,Yes,0.568992,1377 Hyde Park Avenue,21.4,1999,Supermarket/Grocery Store,7.624623
70,70,265.2," -71.040094364486,42.378114",1260716,2016,13145490.2,49564.0,1108.0,2128,970.493121,41,0.285505,Yes,0.714495,246 Border Street,22.4,1997,Supermarket/Grocery Store,14.022274
71,71,299.6," -71.12355746992,42.35272265",2100475000,"2014, 2015, 2016",19318937.1,64485.0,1632.3,2215,1044.875749,27,0.280864,Yes,0.719136,1065 Commonwealth Ave,25.3,1999,Supermarket/Grocery Store,16.841126
72,72,295.1," -71.1188698655819,42.2700142054367",401037400,"2014, 2015, 2016",17566979.5,59527.0,1426.9,2199,1103.608593,37,0.355713,Yes,0.644287,53 Huntington Ave,24.0,2003,Supermarket/Grocery Store,0.0
73,73,289.7," -71.0696937267523,42.2724524547569",Not Available,2016,12803888.4,44191.0,1078.7,2122,1039.325463,19,0.286366,Yes,0.713634,4 River Street,24.4,2003,Supermarket/Grocery Store,20.863977
74,74,58.2," -71.0560738212977,42.35834895",303870000,"2014, 2015, 2016",76937527.3,1321219.0,7009.9,2109,877.640218,88,0.006848,Yes,0.817375,53 State Street,5.3,1985,Office,10.202926
75,75,63.4," -71.0691091,42.3523029",03134-000,"2014, 2015, 2016",9875010.4,155775.0,955.4,2116,524.491543,80,0.0,Yes,1.0,855 Boylston,6.1,1985,Office,8.180388
76,76,47.3," -71.0704494481283,42.3505626",501151000,"2014, 2015, 2016",12745275.6,269327.0,995.8,2116,753.524325,98,0.426607,Yes,0.573393,75 Arlington Street,3.7,1913,Office,9.784388
77,77,0.0," -71.0513120612245,42.3596133469388",Not Available,"2015, 2016",0.0,202022.0,0.0,2109,570.1454, ,0.0,Yes,0.0,255 State Street,0.0,1918,Office,26.822821
78,78,63.0," -71.041022,42.349562",602679035,"2014, 2015, 2016",30672348.6,486760.0,2967.4,2210,910.535472,76,0.0,Yes,1.0,2 Seaport Lane,6.1,2000,Office,15.264401
79,79,72.1," -71.0541072,42.3541385",Not Available,"2014, 2016",12515201.2,173474.0,1111.9,2110,1051.479138, ,0.181031,Yes,0.818969,300 Congress Street,6.4,1880,Office,19.559127
80,80,52.8," -71.0563897411812,42.35240955",304285000,"2014, 2015, 2016",68860057.5,1305390.0,6661.9,2111,869.715241,85,0.0,Yes,1.0,One Financial Center,5.1,1984,Office,9.659719
81,81,70.6," -71.0424994,42.3502312",602677010,"2014, 2015, 2016",38911077.7,551185.0,3764.5,2210,859.547905,72,0.0,Yes,1.0,155 Seaport Boulevard,6.8,2000,Office,16.892332
82,82,72.4," -71.0525505655674,42.3558491",304075000,"2014, 2015, 2016",84849617.8,1171211.0,8208.8,2110,900.495594,77,0.0,Yes,1.0,One International Place,7.0,1986,Office,12.077243
83,83,73.4," -71.058545,42.355056",304597000,"2014, 2015, 2016",34767216.8,473896.0,3301.2,2110,889.354716,80,0.041086,Yes,0.958914,101 Arch Street,7.0,1988,Office,16.91426
84,84,370.8," -71.1077670204082,42.3388550612245",2100067000,"2014, 2015, 2016",42520833.9,114681.0,3107.8,2215,947.556191, ,0.542172,Yes,0.457828,95 Brookline Ave,27.1,1994,Laboratory,48.005337
85,85,125.5," -71.0510155,42.3506088",04-3337741,"2014, 2015, 2016",113589967.9,905414.0,10270.4,2210,1165.478785,97,0.141273,Yes,0.851412,245 Summer Street,11.3,1975,Office,0.0
86,86,107.4," -71.1430464514171,42.36261825",2200578000,"2014, 2015, 2016",8268281.2,76962.0,643.8,2134,872.014725,51,0.432755,Yes,0.567245,1380 Soldiers Field Rd,8.4,1990,Office,7.801253
87,87,79.4," -71.0518872022475,42.3563268",0304071000 0304060010,"2014, 2015, 2016",67619284.2,851195.0,6541.8,2110,1016.590287,76,0.0,Yes,1.0,Two International Place,7.7,1992,Office,11.095107
88,88,176.9," -71.0543986666667,42.3585145555556",303840000,2016,7207681.9,40736.0,535.8,2109,285.676392,4,0.513721,Yes,0.486279,33 Broad Street,13.2,1902,Office,13.675864
89,89,86.2," -71.0926912,42.3469348",501298000,"2014, 2016",8428189.8,97790.0,684.2,2116,326.763608,66,0.0,Yes,0.486963,545 Boylston Street,7.0,1972,Office,16.151958
90,90,50.6," -71.0586188588235,42.3503946764706",30534010,"2014, 2015, 2016",3458107.9,68350.0,292.6,2111,328.721489, ,0.11564,Yes,0.569687,186 Lincoln Street,4.3,1899,Office,5.328456
91,91,0.0," -71.0595677,42.3604823", ,"2014, 2015",0.0,0.0,0.0,2110,1091.739431, ,0.0,No,0.0, ,0.0, , ,0.0
92,92,64.0," -71.0591717368845,42.3664455371807",301510000,"2014, 2015, 2016",9600383.5,150097.0,914.0,2114,654.450096,73,0.034825,Yes,0.964149, 251 Causeway Street,6.1,1909,Office,12.457944
93,93,71.0," -71.0578695826709,42.3564211969845",304643020,"2014, 2015, 2016",46068752.8,648403.0,4456.9,2110,648.495359,80,0.0,Yes,1.0,33 Arch Street,6.9,2004,Office,10.363462
94,94,147.5," -71.0809226,42.3456863",Not Available,"2014, 2015, 2016",40762948.7,276439.0,2657.0,2116,911.893683,48,0.723434,Yes,0.276566,120 Huntington Avenue,9.6,1971,Hotel,72.609509
95,95,65.2," -71.1013902663573,42.3143598951958",501185000,"2014, 2015, 2016",52024539.4,798170.0,4267.6,2116,1041.504074,52,0.169604,Yes,0.589377,200/220 Boylston Street,5.3,1980,Hotel,24.929025
96,96,110.8," -71.0836626,42.3467642",401037300,"2014, 2015, 2016",115213709.4,1040000.0,7801.8,2199,1475.979205,51,0.665348,Yes,0.334652,39 Dalton Street,7.5,1990,Hotel,39.181731
97,97,87.9," -71.054549,42.35309",304340000,"2014, 2015, 2016",94854311.2,1078903.0,12935.3,2210,2260.848053,83,0.018159,Yes,0.601639,600 Atlantic Avenue,12.0,1978,Financial Office,12.248089
98,98,76.5," -71.0712468790221,42.35023115",0501153000 0501155000,"2014, 2015, 2016",39935712.6,522349.0,3221.2,2116,1528.953814,86,0.368672,Yes,0.631328,175 Berkeley St.,6.2,1958,Office,9.546491
99,99,62.9," -71.0539241071429,42.3581388571429",303824000,"2014, 2015, 2016",18010780.1,286159.0,1644.2,2109,696.622714,85,0.0,Yes,0.820181,40 Broad St.,5.7,1923,Office,12.818049
100,100,73.5," -71.063186,42.3293884",703501010,"2014, 2015, 2016",10827088.7,147225.0,921.1,2125,1563.080376,84,0.26745,Yes,0.73255,7 ALLSTATE RD,6.3,2004,Retail Store,13.67295
101,101,66.6," -71.0566106326531,42.354852755102",304199,"2014, 2015, 2016",59140434.7,888478.0,5605.5,2110,1389.99503,76,0.006148,Yes,0.938005,75-101 Federal Street,6.3,1929,Office,12.861883
102,102,84.7," -71.0926912,42.3469348",501297000,"2014, 2016",8806723.5,104036.0,738.6,2116,335.542523,61,0.008014,Yes,0.579083,535 Boylston Street,7.1,1963,Office,16.96432
103,103,64.9," -71.0610576643969,42.3567011",Not Available,"2014, 2016",18635836.3,287358.0,1786.9,2108,844.843396, ,0.019686,Yes,0.980314,120 Tremont Street,6.2,1996,Other,18.91891
104,104,70.1," -71.0626756875,42.359122",Not Available,"2014, 2016",10494722.4,149634.0,943.7,2108,133.191509, ,0.156432,Yes,0.843568,8 Ashburton Place,6.3,1920,Office,16.254996
105,105,177.2," -71.0975764603773,42.3447254945236",504210010,"2014, 2015, 2016",23166941.1,130751.0,1964.8,2215,751.825066,12,0.273165,Yes,0.72609,1295 BOYLSTON ST,15.0,1990,Office,9.859963
106,106,278.9," -71.0923193,42.3392795",2100071000,"2014, 2015, 2016",85153992.7,305362.0,7737.7,2215,1410.469353,4,0.13472,Yes,0.865279,109 BROOKLINE AVE,25.3,1990,Office,13.872715
107,107,128.6," -71.0618702280881,42.35887535",Not Available,"2014, 2016",16880977.8,131253.0,1305.3,2108,329.062371,27,0.030124,Yes,0.373203,10 Somerset Street,9.9,2004,Residence Hall/Dormitory,25.04857
108,108,71.1," -71.0579654,42.3532502",304245000,"2014, 2015, 2016",6663746.4,93779.0,518.0,2111,524.761181,85,0.435708,Yes,0.564292,99 Bedford Street,5.5,1874,Office,6.612355
109,109,127.1," -71.0581936836735,42.3587855918367",302855000,"2014, 2015, 2016",16517390.3,130000.0,1334.8,2108,735.353498,25,0.172077,Yes,0.5503,40 Court Street,10.3,1914,Office,15.379231
110,110,39.9," -71.0730862271907,42.3492131746555",401131000,"2014, 2015, 2016",5950807.0,149000.0,575.7,2116,510.315287,96,0.0,Yes,0.999701,380 Stuart Street,3.9,1930,Office,12.683221
111,111,59.8," -71.1182439565127,42.2694045033742",401013010,"2015, 2016",17183562.2,287141.0,1662.4,2116,617.649488,83,0.0,Yes,1.0,116 Huntington Ave,5.8,1990,Office,11.715847
112,112,72.5," -71.0541865,42.374969",0203504000 0203504001,"2014, 2015, 2016",4703860.5,64925.0,427.2,2129,716.915035,72,0.136045,Yes,0.863955,36 First Avenue,6.6,1865,Office,9.956103
113,113,68.1," -71.1256954444444,42.3636160740741",2200480000,"2014, 2015, 2016",30868092.5,453389.0,2289.7,2134,3793.737537,78,0.0,Yes,0.256332,111 Western Avenue,5.1,1976,Multifamily Housing,29.847879
114,114,73.6," -71.0666239,42.3616699",300660002,"2014, 2015, 2016",16527820.1,224602.0,1263.9,2114,732.676699,80,0.464692,Yes,0.535308,5 Blossom Street,5.6,1968,Hotel,37.830919
115,115,78.9," -71.0569519,42.351924",304300010,"2014, 2015, 2016",18962093.6,240321.0,1834.5,2111,575.202809,74,0.0,Yes,1.0,60 South Street,7.6,2009,Office,11.045643
116,116,56.8," -71.0499414195329,42.3776145342422",Not Available,2016,12814097.5,225748.0,994.0,2129,1534.841661,81,0.439526,Yes,0.560474,250 First Avenue,4.4,2008,Multifamily Housing,41.209667
117,117,133.6," -71.0926912,42.3469348",401038000,"2014, 2015, 2016",17419834.4,130410.0,1236.4,2116,583.051847,67,0.59061,Yes,0.40939,710 Boylston Street,9.5,1900,Hotel,64.435243
118,118,10.8," -71.050651125,42.3579175833333",302995000,"2014, 2015, 2016",3924572.2,364500.0,379.7,2110,963.765855, ,0.0,Yes,1.0,70 East India Row,1.0,1969,Other,9.097119
119,119,156.1," -71.0576786666667,42.3286933333333",703436000,"2014, 2015, 2016",9059809.7,58051.0,732.3,2125,591.399832,11,0.36489,Yes,0.63511,69 R. Boston Street,12.6,2010,Hotel,131.470603
120,120,0.0," -71.0595677,42.3604823", ,2014,0.0,0.0,0.0,2125,884.27572, ,0.0,No,0.0, ,0.0, , ,0.0
121,121,57.6," -71.0739554666967,42.35043025",401092000,"2014, 2015, 2016",42880492.0,744169.0,4148.5,2116,1422.178812,83,0.0,Yes,1.0,500 Boylston St.,5.6,1987,Office,15.901899
122,122,53.8," -71.0730232439024,42.351398097561",401096000,"2014, 2015, 2016",28186606.2,524038.0,2726.9,2116,1085.410236,90,0.0,Yes,1.0,222 Berkeley Street,5.2,1991,Office,10.496949
123,123,329.7," -71.1058639473684,42.3349026315789",401896000,"2014, 2015, 2016",704975535.7,2138279.0,48754.8,2115,6307.926062,26,0.0,Yes,0.284438,75 Francis Street,22.8,1910,Hospital (General Medical & Surgical),26.908229
124,124,85.7," -71.1045073,42.34515768",2100077000,"2014, 2015, 2016",86059819.2,1003987.0,6973.2,2215,2330.035508,78,0.360245,Yes,0.639755,401 Park Drive,6.9,1928,Office,12.859131
125,125,55.6," -71.0560882857143,42.3590964285714",0303680-000,"2014, 2015, 2016",7408422.7,133208.0,668.2,2109,547.088744,89,0.0,Yes,0.709544,84 State Street,5.0,1902,Office,11.043631
126,126,84.6," -71.0530285918367,42.3577512857143",303988000,"2014, 2015, 2016",8899905.2,105197.0,861.0,2210,414.649032,61,0.0,Yes,1.0,21 Custom House Street,8.2,1984,Office,13.064061
127,127,429.2," -71.1079528125,42.3366629375",401913000,"2014, 2015, 2016",173910955.7,405175.0,11969.3,2215,688.537789, ,0.0,Yes,0.25488,44 Binney st,29.5,1975,Other,14.378972
128,128,27.5," -71.097794,42.350048",Not Available,"2014, 2015, 2016",3009450.0,109614.0,291.1,2215,320.631861, ,0.0,Yes,1.0,100 Bay State Road,2.7,2012,Restaurant,0.0
129,129,604.0," -71.108255,42.337849",401919000,"2014, 2015, 2016",198236706.8,328204.0,13290.0,2215,613.276794, ,0.0,Yes,0.189241,1 Jimmy Fund Way,40.5,1995,Other,100.677932
130,130,461.2," -71.10735496,42.33873936",Not Available,"2014, 2015, 2016",56037155.6,121516.0,3909.6,2215,609.674976, ,0.0,Yes,0.287325,420 Brookline Ave,32.2,1986,Other,30.074229
131,131,671.2," -71.1078334285714,42.336510755102",401898000,"2014, 2015, 2016",68136302.5,101514.0,4683.0,2215,531.215126, ,0.0,Yes,0.225725,35 Binney Street,46.1,1952,Other,68.612211
132,132,261.9," -71.0698163444838,42.3625120179953",0300370000 0300445000 0300445001 0300370000,"2014, 2015, 2016",1024728868.0,3912529.0,28730.61123,2114,9251.236336,14,0.003468,Yes,0.403373,55 Fruit St.,7.343233,1811,Hospital (General Medical & Surgical),39.353446
133,133,79.2," -71.0541072,42.3541385",0302952018 0302952020 0302952022 0302952024,"2014, 2015, 2016",66574999.2,840913.0,5755.8,2210,895.78517,90,0.235821,Yes,0.764179,280 Congress St.,6.8,2010,Office,11.924896
134,134,475.6," -71.106273,42.338238",Not Available,"2014, 2015, 2016",1077092067.0,2264503.0,73790.8,2115,5812.598028, ,0.0,Yes,0.229599,300 Longwood Ave,32.6,1914,Other - Specialty Hospital,28.636968
135,135,0.0," -71.0595677,42.3604823", ,2015,0.0,0.0,0.0,2136,19854.1195, ,0.0,No,0.0, ,0.0, , ,0.0
136,136,0.0," -71.0595677,42.3604823", ,2015,0.0,0.0,0.0,2136,2162.593629, ,0.0,No,0.0, ,0.0, , ,0.0
137,137,96.7," -71.0783624138673,42.3355614054498",901150000,"2015, 2016",11038622.3,114190.0,759.6,2118,519.807939,50,0.640286,Yes,0.359714,1855 Washington Street,6.7,1900,Multifamily Housing,76.33418
138,138,82.2," -71.12593421875,42.25091975",1809255000,"2015, 2016",10844003.4,132000.0,710.9,2136,910.717936,37,0.714756,Yes,0.285244,1344 Hyde Park Avenue,5.4,1900,Multifamily Housing,49.116667
139,139,63.2," -71.0588746,42.3504896",05332-000,"2014, 2015, 2016",14940712.3,236461.0,1327.9,2111,879.064336,90,0.180261,Yes,0.819739,179 Lincoln Street,5.6,1899,Office,7.436321
140,140,75.8," -71.056843,42.3503565",305355000,"2014, 2015, 2016",14745241.2,194417.0,1426.5,2111,545.096001,64,0.0,Yes,1.0,745 Atlantic Ave,7.3,1988,Office,5.198619
141,141,383.5," -71.1018794639118,42.3371008",401845000,"2014, 2015, 2016",94896726.4,247418.0,6609.2,2215,1549.769072, ,0.0,Yes,0.2695,221 Longwood Avenue,26.7,1930,Outpatient Rehabilitation/Physical Therapy,24.60007
142,142,63.2," -71.055059,42.3558801428571",Not Available,"2014, 2015, 2016",41237149.3,652846.0,3635.5,2110,1029.426178,89,0.0,Yes,0.717086,185 Franklin Street,5.6,1947,Office,0.41051
143,143,0.0," -71.0595677,42.3604823", ,"2014, 2015, 2016",0.0,0.0,0.0,2114,2342.864436, ,0.0,Yes,0.0, ,0.0, , ,0.0
144,144,180.0," -71.0534175852377,42.362259331515",Not Available,"2014, 2015, 2016",7190499.0,39938.0,412.527511,121091402,688.07317,100,0.557805,Yes,0.442195,70 Fulton Street,10.329198,1960,Hospital (General Medical & Surgical),17.437027
145,145,323.6," -71.1052995,42.3406365",0401862000 0401861000 0401944000 0401954000 0401964001 0401942000,"2014, 2015, 2016",808281515.8,2497517.0,56617.9,2215,9837.677135,20,0.003868,Yes,0.275341,330 Brookline Ave.,22.7,1975,Hospital (General Medical & Surgical),26.363704
